trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9975}",35,17,-150.30791375438372,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 3}",1
2,False,"{'a': 0.8, 'e': 0.9950062500000001}",25,4,-111.80347688138184,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 2}",1
3,False,"{'a': 0.8, 'e': 0.9925187343750002}",25,0,-2.5153852083924466,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.9900374375390627}",20,0,-29.889067691675425,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.9875623439452151}",20,0,-56.78085674413565,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
6,False,"{'a': 0.8, 'e': 0.9850934380853521}",25,0,-53.09874466232938,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0.9826307044901388}",30,0,28.728588810325935,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.8, 'e': 0.9801741277289134}",20,1,19.751603909771717,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.8, 'e': 0.9777236924095912}",30,16,20.71769059953597,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.8, 'e': 0.9752793831785673}",20,0,4.610092108679308,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.972841184720621}",25,1,-31.936257831313714,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 1}",1
12,False,"{'a': 0.8, 'e': 0.9704090817588195}",20,5,18.77340327214924,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.8, 'e': 0.9679830590544225}",30,0,-107.37328937752886,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 3}",0
14,False,"{'a': 0.8, 'e': 0.9655631014067865}",20,0,-53.07334711161617,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.8, 'e': 0.9631491936532696}",30,0,-30.177000134146546,"{0: 25, 1: 1, 2: 2, 3: 2, 4: 0}",0
16,False,"{'a': 0.8, 'e': 0.9607413206691364}",30,11,15.188539593480368,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.8, 'e': 0.9583394673674637}",25,0,-38.98346233324171,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.8, 'e': 0.9559436186990451}",20,0,-4.560506471047214,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.8, 'e': 0.9535537596522975}",20,0,23.15554272484661,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.8, 'e': 0.9511698752531668}",20,6,22.68652800984786,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.8, 'e': 0.9487919505650338}",20,0,20.622258785001005,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.8, 'e': 0.9464199706886213}",35,13,37.1795532283931,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.8, 'e': 0.9440539207618998}",20,14,14.519168571621028,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.8, 'e': 0.9416937859599951}",20,10,13.286898878848202,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.8, 'e': 0.9393395514950952}",20,16,5.554863989621644,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.8, 'e': 0.9369912026163575}",20,0,11.652307480298632,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.8, 'e': 0.9346487246098166}",20,0,26.009948342936212,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.8, 'e': 0.9323121027982921}",35,16,32.37086418393327,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.8, 'e': 0.9299813225412964}",30,4,-24.10584256831658,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 1}",1
30,False,"{'a': 0.8, 'e': 0.9276563692349432}",20,2,26.37067423129855,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.8, 'e': 0.9253372283118559}",25,18,11.555601001389622,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.8, 'e': 0.9230238852410764}",20,0,23.099284940844427,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.8, 'e': 0.9207163255279738}",20,16,8.2560801914212,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.8, 'e': 0.9184145347141539}",20,7,-1.4578552399140388,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
35,False,"{'a': 0.8, 'e': 0.9161184983773686}",20,11,4.740805551536193,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.8, 'e': 0.9138282021314252}",25,12,23.43208068059223,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.8, 'e': 0.9115436316260968}",25,20,10.406674443827608,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.8, 'e': 0.9092647725470315}",20,5,16.633995407906248,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.8, 'e': 0.906991610615664}",20,12,17.240108490351698,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.8, 'e': 0.9047241315891249}",20,0,-4.362442232277863,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
41,False,"{'a': 0.8, 'e': 0.9024623212601521}",25,14,13.18807771598632,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.8, 'e': 0.9002061654570018}",20,10,3.7337765868739208,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.8, 'e': 0.8979556500433594}",20,10,16.57073173231943,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.8, 'e': 0.8957107609182511}",25,0,38.02128690318657,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.8, 'e': 0.8934714840159556}",25,12,23.305376094447723,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.8, 'e': 0.8912378053059157}",30,5,37.989181367439905,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
