trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5}",25,0,-261.89915441489296,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 6}",0
2,False,"{'a': 0.5, 'e': 0.25}",20,0,-134.3944490698322,"{0: 7, 1: 6, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.125}",20,0,-118.56584606437495,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.0625}",35,12,-80.5402587006718,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.03125}",20,0,-76.79854373434729,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.015625}",20,0,-26.685572260444896,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.0078125}",20,0,-134.02890154842606,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.00390625}",20,0,-62.30701372454548,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.001953125}",30,0,-74.50521902672537,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.0009765625}",35,0,-197.9506787165545,"{0: 15, 1: 5, 2: 13, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.00048828125}",25,0,-143.95106750463594,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.000244140625}",25,0,-128.816094040679,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.0001220703125}",20,0,-82.94687331876268,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 6.103515625e-05}",30,0,-152.98460977518198,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 3.0517578125e-05}",20,1,-30.65927682170524,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.52587890625e-05}",20,0,-52.348838138187766,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 7.62939453125e-06}",20,0,-68.3780838375036,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
