trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9405}",20,12,-1.040149364801739,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8815949999999999}",20,0,-17.80275269828648,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8232790499999999}",20,0,-102.50053826129697,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7655462594999999}",30,11,-59.541127095638444,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7083907969049998}",30,8,-30.786820370501054,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6518068889359498}",20,0,-15.876887439024626,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.5957888200465903}",25,0,17.15825789505412,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5403309318461244}",20,0,-21.103070718482073,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.48542762252766314}",25,11,16.71898964616269,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.43107334630238653}",25,11,-19.135045481426634,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.3772626128393627}",30,1,-57.778145472702484,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.32398998671096907}",20,0,14.96679326803293,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.2712500868438594}",20,0,3.064719819232458,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.21903758597542078}",20,0,26.220134054445943,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.16734721011566658}",30,13,14.445723652342364,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.11617373801450992}",20,14,10.427963886288174,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.06551200063436481}",20,0,22.741228115197742,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.015356880628021161}",25,0,23.476981546339577,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': -0.03429668817825905}",20,0,-18.752669347633997,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -0.08345372129647646}",20,0,24.334872304988583,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",35,0,37.25655012632847,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",35,0,6.929836868978246,"{0: 32, 1: 1, 2: 1, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,21.20513127741343,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,10,19.364661162570666,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,0,3.598732407861474,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,2.258727277471679,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
