trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9975}",25,0,-25.689523376599766,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.9950062500000001}",20,0,-42.507604471938365,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
3,False,"{'a': 0.8, 'e': 0.9925187343750002}",20,0,-15.335609161776365,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.9900374375390627}",20,12,-58.6556403725716,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 1}",1
5,False,"{'a': 0.8, 'e': 0.9875623439452151}",20,0,-38.43741663631003,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.9850934380853521}",30,0,-32.39135272161606,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.9826307044901388}",20,2,1.2867445819700596,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.8, 'e': 0.9801741277289134}",35,28,9.285309816996463,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.8, 'e': 0.9777236924095912}",25,0,-61.19216568147676,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.8, 'e': 0.9752793831785673}",20,0,-15.362342796965597,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.972841184720621}",20,0,4.749586221599631,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.9704090817588195}",30,4,15.734138682923055,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.8, 'e': 0.9679830590544225}",20,0,-61.047189391928505,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
